repo,district,branch_footprints,branch_r_code,branch_r_loc,main_footprints,main_r_code,main_r_loc
django/django,0,191,0.858719,0.852667,179,0.833909,0.867075
django/django,1,94,0.966295,0.949712,95,0.946775,0.962070
django/django,2,94,0.938032,0.943088,96,0.912398,0.942283
django/django,3,84,0.948733,0.938545,81,0.933150,0.946534
django/django,4,76,0.956415,0.951247,74,0.954053,0.956356
django/django,5,69,0.925808,0.918536,70,0.910950,0.937125
django/django,6,56,0.985377,0.939004,55,0.962396,0.975434
django/django,7,55,0.994440,0.988685,55,0.985231,0.991472
django/django,8,35,0.956092,0.925636,34,0.923450,0.970792
django/django,9,31,0.973683,0.963139,31,0.964624,0.975189
django/django,10,13,0.995225,0.981298,13,0.990982,0.997370
django/django,11,5,0.597255,0.556601,5,0.907624,0.930326
encode/httpx,0,7,0.754679,0.678481,7,0.607085,0.635913
encode/httpx,1,6,0.705994,0.350460,6,0.918443,0.714386
encode/httpx,2,6,0.728457,0.805492,6,0.686026,0.764970
encode/httpx,3,3,0.935615,0.936508,3,0.932867,0.933778
langgenius/dify,0,842,0.728315,0.724470,859,0.714078,0.723014
langgenius/dify,1,880,0.710944,0.707121,873,0.707344,0.705431
langgenius/dify,2,571,0.682278,0.684558,566,0.675241,0.679339
langgenius/dify,3,465,0.771025,0.769772,470,0.764789,0.767412
langgenius/dify,4,443,0.771152,0.776252,442,0.753860,0.762173
langgenius/dify,5,330,0.748590,0.758602,333,0.740274,0.753805
langgenius/dify,6,297,0.679073,0.675850,301,0.676628,0.680546
langgenius/dify,7,257,0.925512,0.903400,265,0.934031,0.919347
langgenius/dify,8,256,0.646038,0.615146,257,0.559599,0.543884
langgenius/dify,9,235,0.938000,0.934944,233,0.924201,0.937523
langgenius/dify,10,190,0.485208,0.476434,193,0.473222,0.467232
langgenius/dify,11,196,0.865712,0.850327,195,0.865946,0.867776
langgenius/dify,12,122,0.890106,0.888741,122,0.886327,0.889941
langgenius/dify,13,110,0.867495,0.857522,116,0.884846,0.877397
langgenius/dify,14,101,0.971156,0.970993,101,0.970299,0.971771
langgenius/dify,15,80,0.898243,0.888599,79,0.925230,0.922043
langgenius/dify,16,87,0.949126,0.943795,88,0.918917,0.909620
langgenius/dify,17,83,0.877082,0.872168,84,0.862489,0.860610
langgenius/dify,18,71,0.977746,0.979288,72,0.975857,0.982027
langgenius/dify,19,53,0.992525,0.995185,53,0.981990,0.993404
langgenius/dify,20,40,0.923400,0.925318,41,0.913229,0.926994
langgenius/dify,21,38,0.926097,0.934093,37,0.946439,0.940050
langgenius/dify,22,0,,,0,,
langgenius/dify,23,21,0.945014,0.942820,22,0.919471,0.921098
langgenius/dify,24,18,0.960592,0.959488,19,0.936418,0.935082
langgenius/dify,25,9,0.484719,0.484719,8,0.685408,0.685408
langgenius/dify,26,4,0.811115,0.728481,6,0.383742,0.347458
langgenius/dify,27,6,-0.535897,-0.423820,7,-0.389801,-0.276109
langgenius/dify,28,9,,,9,,
langgenius/dify,29,0,,,0,,
langgenius/dify,30,0,,,0,,
langgenius/dify,31,6,,,6,,
langgenius/dify,32,0,,,0,,
langgenius/dify,33,5,0.942088,0.896460,5,0.950492,0.914166
langgenius/dify,34,0,,,0,,
langgenius/dify,35,2,,,1,,
langgenius/dify,36,0,,,0,,
langgenius/dify,37,0,,,0,,
langgenius/dify,38,3,0.916474,0.853249,3,0.929445,0.870350
langgenius/dify,39,0,,,0,,
langgenius/dify,40,0,,,0,,
langgenius/dify,41,0,,,0,,
langgenius/dify,42,4,0.990969,0.992077,3,0.949678,0.946766
langgenius/dify,43,0,,,0,,
langgenius/dify,44,4,0.999622,0.999100,4,0.999577,0.999257
langgenius/dify,45,4,0.999971,0.999956,4,0.999968,0.999958
langgenius/dify,46,0,,,0,,
langgenius/dify,47,0,,,0,,
langgenius/dify,48,0,,,0,,
langgenius/dify,49,0,,,0,,
langgenius/dify,50,0,,,0,,
langgenius/dify,51,0,,,0,,
langgenius/dify,52,0,,,0,,
langgenius/dify,53,0,,,0,,
langgenius/dify,54,0,,,0,,
langgenius/dify,55,0,,,0,,
langgenius/dify,56,0,,,0,,
langgenius/dify,57,0,,,0,,
langgenius/dify,58,0,,,0,,
langgenius/dify,59,0,,,0,,
langgenius/dify,60,0,,,0,,
langgenius/dify,61,0,,,0,,
langgenius/dify,62,0,,,0,,
langgenius/dify,63,0,,,0,,
langgenius/dify,64,0,,,0,,
langgenius/dify,65,0,,,0,,
langgenius/dify,66,0,,,0,,
langgenius/dify,67,0,,,0,,
langgenius/dify,68,0,,,0,,
langgenius/dify,69,0,,,0,,
langgenius/dify,70,0,,,0,,
langgenius/dify,71,0,,,0,,
langgenius/dify,72,0,,,0,,
langgenius/dify,73,0,,,0,,
langgenius/dify,74,0,,,0,,
langgenius/dify,75,0,,,0,,
langgenius/dify,76,0,,,0,,
langgenius/dify,77,0,,,0,,
pallets/flask,0,7,0.921669,0.933036,7,0.888563,0.911359
pallets/flask,1,6,0.932942,0.837448,6,0.994721,0.968444
pallets/flask,2,6,0.919461,0.925535,6,0.790931,0.838213
pallets/flask,3,5,0.891698,0.864410,5,0.859777,0.887395
prometheus/prometheus,0,131,0.795029,0.808208,138,0.792438,0.811287
prometheus/prometheus,1,104,0.912383,0.913223,107,0.905918,0.910162
prometheus/prometheus,2,92,0.976217,0.970461,96,0.974557,0.975461
prometheus/prometheus,3,72,0.960681,0.969385,73,0.946860,0.967520
prometheus/prometheus,4,57,0.944780,0.940105,56,0.964851,0.973536
prometheus/prometheus,5,54,0.979947,0.980408,56,0.970816,0.983367
prometheus/prometheus,6,34,0.994915,0.997049,36,0.987543,0.996761
prometheus/prometheus,7,25,0.995395,0.991772,25,0.995573,0.996711
prometheus/prometheus,8,16,0.995437,0.991231,18,0.995844,0.996744
prometheus/prometheus,9,4,0.999559,0.999975,4,0.996045,0.998583
prometheus/prometheus,10,0,,,0,,
vuejs/core,0,53,0.920855,0.904778,53,0.924388,0.912404
vuejs/core,1,46,0.943573,0.956092,47,0.921759,0.946918
vuejs/core,2,37,0.991699,0.980687,37,0.981880,0.988266
vuejs/core,3,28,0.993255,0.992456,31,0.987934,0.990498
vuejs/core,4,28,0.969874,0.964398,28,0.970731,0.969832
vuejs/core,5,21,0.953258,0.876508,21,0.931949,0.979555
vuejs/core,6,16,0.996482,0.994566,15,0.996250,0.997304
vuejs/core,7,5,0.999965,0.999731,5,0.999853,0.999978
